,code,allergen
714237,3230890815638,en:soybeans
1387156,7340084860132,en:soybeans
522305,2058410019486,en:celery
522305,2058410019486,en:milk
1338371,5900649052727,en:gluten
659503,3033610067580,en:fish
659503,3033610067580,en:sesame-seeds
656104,3023290155059,en:milk
661636,3038359002854,en:gluten
552539,2224658038644,en:gluten
716338,3242272864356,en:eggs
716338,3242272864356,en:fish
716338,3242272864356,en:gluten
716338,3242272864356,en:milk
716338,3242272864356,en:mustard
663250,3041090050336,en:milk
663250,3041090050336,en:soybeans
586853,2404910014566,en:milk
1149695,4132500000351,en:eggs
1149695,4132500000351,en:gluten
1149695,4132500000351,en:mustard
1149695,4132500000351,en:sesame-seeds
1149695,4132500000351,fr:oeuf entier
716311,3242272832256,en:gluten
716311,3242272832256,en:milk
841524,3386030001895,en:fish
841524,3386030001895,en:gluten
841524,3386030001895,en:soybeans
656260,3023290419663,en:milk
1204945,5000159414197,en:gluten
1204945,5000159414197,en:milk
1204945,5000159414197,en:soybeans
491221,2000000000753,en:milk
660498,3036811355487,en:celery
660498,3036811355487,en:milk
564105,2281251049668,en:sulphur-dioxide-and-sulphites
1268547,5350084000171,en:sulphur-dioxide-and-sulphites
1819369,90116285,en:milk
1819369,90116285,en:mustard
1819369,90116285,de:brimsen
1819369,90116285,de:schaffrischkäse
1819369,90116285,de:topfen
694929,3178050028170,en:milk
1811419,8936046152446,en:sesame-seeds
1811419,8936046152446,en:soybeans
657510,3029440005137,en:sulphur-dioxide-and-sulphites
291022,0207106020400,en:gluten
291022,0207106020400,en:sulphur-dioxide-and-sulphites
849748,3410280020556,en:eggs
849748,3410280020556,en:gluten
849748,3410280020556,en:milk
1066901,4000142686786,en:gluten
1066901,4000142686786,en:soybeans
1382050,7290013997401,en:soybeans
521131,20533885,en:gluten
694123,3176580101509,en:milk
841145,3384730210012,en:milk
522462,20593308,en:molluscs
656404,3023291156000,en:milk
656374,3023290794937,en:eggs
656374,3023290794937,en:milk
683212,3123930780969,en:milk
1820708,9046111357078,en:celery
1820708,9046111357078,en:milk
656851,3025863118003,en:nuts
681643,3116641072720,en:gluten
491462,2000000003773,en:eggs
491462,2000000003773,en:gluten
491462,2000000003773,en:milk
682618,3121230022895,en:gluten
682618,3121230022895,en:soybeans
565862,2293546019966,en:milk
555907,2235928035621,en:milk
845163,3395328152225,en:gluten
845163,3395328152225,en:milk
845163,3395328152225,en:nuts
845163,3395328152225,en:soybeans
1172882,4311596438976,en:milk
1544360,8022840750084,en:sulphur-dioxide-and-sulphites
1289035,5407001941014,en:milk
656120,3023290166567,en:milk
1146230,4100460012004,en:gluten
1146231,4100460082007,en:gluten
1146232,4100460082205,en:gluten
660481,3036810351596,en:celery
660481,3036810351596,en:gluten
660481,3036810351596,en:milk
660552,3036811363178,en:celery
660552,3036811363178,en:milk
660499,3036811356002,en:celery
660499,3036811356002,en:eggs
660499,3036811356002,en:gluten
660499,3036811356002,en:milk
660499,3036811356002,fr:vermicelles
849992,3410280070766,en:celery
849992,3410280070766,en:milk
661585,3038359001888,en:milk
1547213,8024698025123,en:sulphur-dioxide-and-sulphites
963950,3700190304236,en:soybeans
661675,3038359003707,en:milk
1205312,5000159488716,en:gluten
1205312,5000159488716,en:milk
1205312,5000159488716,en:soybeans
1289879,5410028443669,en:gluten
1289878,5410028443461,en:gluten
988861,3760022331847,en:crustaceans
988861,3760022331847,en:eggs
988861,3760022331847,en:fish
988861,3760022331847,en:gluten
988861,3760022331847,en:sesame-seeds
988861,3760022331847,en:soybeans
1170176,4311501432822,en:milk
1170176,4311501432822,de:kasein
1634334,8414167080089,en:sulphur-dioxide-and-sulphites
656390,3023290798607,en:milk
678017,3104544018730,en:celery
663222,3041090027918,en:gluten
663222,3041090027918,en:milk
663222,3041090027918,en:soybeans
1796788,8791197826017,en:gluten
1376944,7003659875428,en:gluten
626973,2695276056943,en:gluten
626973,2695276056943,en:mustard
626973,2695276056943,en:sesame-seeds
561527,2265781111385,en:sulphur-dioxide-and-sulphites
694745,3177630005006,en:milk
1193643,4759607010009,en:milk
623602,2655071030043,en:milk
659256,3033610036692,en:milk
1191605,4710597000043,en:gluten
1191605,4710597000043,en:soybeans
1191651,4710678220353,en:peanuts
1191651,4710678220353,en:soybeans
681724,3116740032045,en:gluten
678719,3106130002147,en:eggs
678719,3106130002147,en:gluten
678719,3106130002147,en:milk
840012,3382030103089,en:gluten
681464,3116430208606,en:eggs
681464,3116430208606,en:gluten
681464,3116430208606,en:milk
681464,3116430208606,en:nuts
681464,3116430208606,en:soybeans
1288822,54037038,en:milk
1288822,54037038,en:nuts
1288822,54037038,en:soybeans
1173852,4316268398558,en:gluten
549131,22114099,de:forellenfilets
966240,3700254080397,en:eggs
966240,3700254080397,en:gluten
966240,3700254080397,en:milk
966238,3700254080144,en:eggs
966238,3700254080144,en:gluten
966238,3700254080144,en:milk
842401,3389090016038,en:crustaceans
842401,3389090016038,en:fish
842401,3389090016038,en:milk
1706208,8436550863864,en:milk
1706208,8436550863864,en:nuts
1706213,8436550865806,en:milk
1706215,8436550865844,en:milk
1706209,8436550863888,en:milk
1706205,8436550860603,en:milk
1706203,8436550860573,en:milk
1706216,8436550865868,en:milk
1706216,8436550865868,en:nuts
1706206,8436550863826,en:milk
1706207,8436550863840,en:milk
1706217,8436550865882,en:milk
561529,2265782055435,en:gluten
561529,2265782055435,en:soybeans
1706211,8436550864267,en:milk
1706212,8436550864281,en:milk
1706212,8436550864281,en:soybeans
511600,2023000000205,en:gluten
522134,2057651027625,en:milk
1170111,4311501421871,en:milk
1170111,4311501421871,de:kasein
713706,3230140009121,en:mustard
713706,3230140009121,fr:disulfite de potassium
1315039,5446415389777,en:gluten
1530431,8015393001024,en:sulphur-dioxide-and-sulphites
694163,3176580636629,en:milk
1726590,8437013183062,en:sulphur-dioxide-and-sulphites
1751543,8585002476821,en:gluten
1288369,5400766016515,en:eggs
1288369,5400766016515,en:gluten
1288369,5400766016515,en:milk
1288369,5400766016515,en:nuts
659769,3033610083177,en:fish
1563224,8033406267052,en:gluten
661600,3038359002205,en:gluten
1286226,5400247044693,en:crustaceans
1811204,8936005356694,en:crustaceans
898156,3538280010039,en:milk
898156,3538280010039,en:soybeans
1531035,8015854123418,en:eggs
1531035,8015854123418,en:gluten
1531035,8015854123418,en:milk
1531035,8015854123418,en:soybeans
898188,3538280033090,en:milk
898188,3538280033090,en:soybeans
1174070,4316268441261,en:milk
656391,3023290798652,en:milk
1286227,5400247044853,en:gluten
1286276,5400247056184,en:gluten
1268524,5350021000257,en:wholemilk
657991,3033490287160,en:milk
683241,3123931280994,en:milk
989922,3760025680485,en:milk
989922,3760025680485,fr:ferments
681438,3116430201997,en:eggs
681438,3116430201997,en:gluten
681438,3116430201997,en:milk
681438,3116430201997,en:soybeans
1799580,8850100002501,en:gluten
1799580,8850100002501,en:sesame-seeds
1799580,8850100002501,en:soybeans
521177,20534622,en:sulphur-dioxide-and-sulphites
845892,3396410048853,en:milk
550159,22145703,en:gluten
550159,22145703,en:milk
550159,22145703,en:nuts
643470,29065561,en:milk
656293,3023290458976,en:milk
682176,3119780041527,en:gluten
682193,3119780246441,en:gluten
1205070,5000159454391,en:milk
1205070,5000159454391,en:peanuts
1205070,5000159454391,en:soybeans
491166,2000000000087,en:milk
491166,2000000000087,en:mustard
491166,2000000000087,fr:lait écrémé en poudre
1170047,4311501400166,en:milk
292450,0208028035756,en:eggs
292450,0208028035756,en:gluten
292450,0208028035756,en:milk
1797995,8801128542593,en:crustaceans
1797995,8801128542593,en:gluten
1797995,8801128542593,en:molluscs
658257,3033491012808,en:milk
1174087,4316268445825,en:gluten
1174087,4316268445825,en:milk
1174087,4316268445825,de:hühnereivollei
1529889,8014941051115,en:gluten
555541,2233386002803,en:milk
555539,2233382002586,en:milk
521346,20545536,en:celery
714630,3234510061085,en:eggs
714630,3234510061085,en:gluten
714630,3234510061085,en:milk
551613,2220251241818,en:gluten
551613,2220251241818,en:milk
